experiment_id,experiment_run,round,client_id,fid
2,4,9,2,0.061268796784219745
2,4,9,0,0.055385475091688924
2,4,9,20,0.04740418235135105
2,4,9,1,0.03163336503806902
2,4,9,9,0.052768590366213675
2,4,9,23,0.04930738858012028
2,4,9,3,0.023899638284595744
2,4,9,24,0.04127663715570602
2,4,9,22,0.027178402229371082
2,4,9,12,0.027199038527751837
2,4,9,5,0.030193227330529607
2,4,9,21,0.027210837098510448
2,4,9,19,0.041161159866838784
2,4,10,11,0.031197436441804626
2,4,10,19,0.05035670838994148
2,4,10,8,0.035515828493936606
2,4,10,20,0.05938754620244507
2,4,10,13,0.03421472272918623
2,4,10,14,0.03949954511695719
2,4,10,18,0.06613296490953693
2,4,10,1,0.035271816534616876
2,4,10,5,0.03424553321211007
2,4,10,17,0.02680342842571163
2,4,10,0,0.032766771776587
2,4,10,3,0.043193453840759066
2,4,10,6,0.04839669042703683
2,4,10,15,0.04656433716239059
2,4,10,2,0.02828336788634133
2,4,10,22,0.025390218256649652
2,4,10,16,0.05123048540482261
2,4,10,12,0.045074663111657066
2,4,10,23,0.06566763083562537
2,4,10,10,0.028373792219683558
2,4,10,21,0.02168921611759258
2,4,10,9,0.06025696694864092
2,4,10,4,0.08151816699209531
2,4,10,7,0.02657617487992215
